type, type_full
AlpineSki, Alpine Ski
BackcountrySki, Backcountry Ski
Canoeing, Canoeing
Crossfit, Crossfit
EBikeRide, E-bike Ride
Elliptical, Elliptical
Golf, Golf
Handcycle, Handcycle
Hike, Hike
IceSkate, Ice Skate
InlineSkate, Inline Skate
Kayaking, Kayaking
Kitesurf, Kitesurf
NordicSki, Nordic Ski
Ride, Ride
RockClimbing, Rock Climbing
RollerSki, Roller Ski
Rowing, Rowing
Run, Run
Sail, Sail
Skateboard, Skateboard
Snowboard, Snowboard
Snowshoe, Snowshoe
Soccer, Soccer
StairStepper, Stair Stepper
StandUpPaddling, Stand-up Paddling
Surfing, Surfing
Swim, Swim
Velomobile, Velomobile
VirtualRide, Virtual Ride
VirtualRun, Virtual Run
Walk, Walk
WeightTraining, Weight Training
Wheelchair, Wheelchair
Windsurf, Windsurf
Workout, Workout
Yoga, Yoga
